,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-2F-A9KO,-1.7700293,-0.42381757,2.250864,3.2733097,0.36158958,0.20629647,2.6571214,-2.3229115,-3.0777302,-0.098203495,-1.877339,1.0443302,-2.7680616,-3.4103,-2.1025438,-1.3346866,2.5766199,-1.9239728,-1.9115969,-0.1765319,1.4030722,-2.9509883,-2.4611418,0.3211492,LumP
TCGA-2F-A9KP,-0.09252171,-1.5174841,0.3641664,4.942865,1.7401904,-0.08493968,4.18176,-3.586269,-0.91218925,2.0458066,-2.0562296,0.08514808,-2.1017985,-1.060683,-1.6539158,-2.9869056,5.2608,-2.298756,-0.60879105,-0.18393154,4.9016128,-2.6807632,0.12574542,-0.94047606,LumP
TCGA-2F-A9KQ,0.87182444,-1.8659078,0.35555953,4.153445,1.3171979,-0.08205875,3.7259343,-4.6608152,-1.11701,3.975716,0.8180278,-0.69063467,-2.8668647,-0.4708236,-1.3356999,-4.346989,9.871111,-4.20896,-0.44121355,-0.824784,8.839133,-1.8916508,1.4690979,-1.6692351,LumP
TCGA-2F-A9KR,-0.1026779,-2.0267332,2.2034657,3.3327298,-0.829285,0.6116516,2.24449,-4.097258,-2.1860356,2.5476532,1.1164416,-0.8574874,-4.100717,-2.5448291,-2.7661138,-2.7623749,8.938379,-3.6037958,-2.49303,-0.3162042,6.5003724,-2.580473,0.62106526,-0.32636455,Ba/Sq
TCGA-2F-A9KT,-2.1993647,-0.7739835,2.25183,3.3923793,1.4171962,0.747179,2.4268718,-2.5876856,-3.4974425,0.8717528,-1.8911402,1.7238972,-2.514398,-3.3397286,-1.6663107,-2.4032397,4.787326,-2.7641966,-1.3694996,-0.8646892,2.3759444,-3.1130245,-1.6583819,-0.07225302,Ba/Sq
TCGA-2F-A9KW,-1.159664,-0.8109115,1.7511132,4.3152833,1.7555717,0.075483836,3.341231,-2.3729322,-2.32724,0.63041615,-2.5163658,1.1161394,-2.1707535,-2.4403093,-1.206087,-2.1657553,3.0904975,-1.7938428,-0.7391132,-0.03784688,2.3879967,-2.826071,-1.5406747,-0.25051942,LumU
TCGA-4Z-AA7M,-0.7960163,-1.0305252,1.3456163,3.271142,1.7666811,0.25996783,2.2781453,-2.3234386,-2.7972808,1.3360444,-1.3803722,1.0144898,-1.2330801,-1.7835289,-0.83528364,-2.4433975,3.3275356,-2.1809332,-0.47998726,-0.7117592,2.5649667,-1.9836389,-0.5488622,-0.8230406,LumU
TCGA-4Z-AA7N,-1.8127371,-0.6385171,2.5416095,3.1699643,-0.3762718,-0.33136067,3.7233424,-1.9835002,-3.3646684,-0.7090966,-3.232131,0.526053,-3.7956657,-4.624978,-4.5362663,0.31554055,0.52549577,-2.187629,-4.2425528,-1.0163815,0.3337337,-4.2763042,-4.616315,0.63533294,Stroma-rich
TCGA-4Z-AA7O,0.90808046,-1.3968232,1.049403,2.9483867,0.67282665,-0.153532,2.1477597,-3.1922224,-2.098735,2.8257816,0.9548069,-0.36469573,-2.1812468,-0.91640794,-0.900473,-3.0467196,6.9847755,-3.039382,-0.447542,-0.5746331,6.0248985,-1.1459711,1.4092803,-1.2277951,LumP
TCGA-4Z-AA7Q,-1.5210965,-0.48611945,1.806956,2.6473427,0.18323341,0.18754211,2.530943,-1.8267844,-2.2475164,-0.6586187,-2.1254704,0.73577434,-2.5321012,-3.2431018,-2.7324905,-0.6819804,1.1677802,-1.8004942,-2.3728263,-0.50431263,0.44938973,-2.9966452,-3.3006341,0.33954588,Ba/Sq
