,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,class
TCGA-2F-A9KO,-0.4734593,1.320671,0.0133603895,0.7411955,-2.7010472,-0.5199753,0.68215406,1.5353872,0.7239804,0.64757454,0.51709485,-1.1274135,-1.3382574,-0.81811994,0.86263585,-0.6144794,0.5673379,-0.20661369,-1.6298097,-1.5250163,0.5309847,0.82748777,-1.2836864,-0.48875737,LumP
TCGA-2F-A9KP,-2.1372304,1.389244,0.22044455,1.1761625,-3.0115514,0.5208577,1.3589354,2.3084838,0.8246407,-0.112603605,1.0468303,-1.6372344,-1.1705576,-0.52376485,0.86274934,-0.3747954,1.0024352,-0.22055742,-2.2071586,-1.876811,0.5246756,0.20286278,-0.8554927,0.21546793,LumP
TCGA-2F-A9KQ,-1.5391592,1.6955361,-0.43528175,0.95598423,-2.8931854,-0.4698883,1.5118424,1.7527219,0.96178186,0.34651238,0.98605144,-2.4061987,-1.4363253,-0.16096541,0.9285473,-0.5817953,0.3960029,-0.44095695,-1.8294469,-2.10813,0.31066528,0.22370185,-1.1064686,-0.26533592,LumP
TCGA-2F-A9KR,-1.6714052,1.22511,-0.48135483,0.42698735,-2.4519274,-0.3872298,1.7361094,1.5224233,0.9225937,0.49221128,1.1897724,-2.7677586,-1.4811124,0.33186263,0.8669973,-0.28924614,0.16842905,-0.35015103,-1.3678602,-2.173497,0.24535894,-0.25465864,-1.1953669,-0.12818646,Ba/Sq
TCGA-2F-A9KT,-0.38572237,1.2588665,0.17498472,0.49620152,-3.2578902,-0.4362069,0.9438726,1.5906583,1.1029962,1.1043236,0.4775633,-1.3688371,-1.5320474,-0.57502544,0.99869037,-0.49791145,0.3162891,-0.20632023,-1.6184531,-2.157896,0.8446395,0.8971692,-1.7494107,-0.6528249,Ba/Sq
TCGA-2F-A9KW,-0.457196,0.22568634,0.18739136,0.29861546,-1.2173103,0.31332907,0.5861062,1.1114802,0.08819159,0.35848555,0.27806717,-0.47797197,-0.46896058,-0.6517068,0.36819193,-0.20907883,0.740567,-0.08865643,-0.81490916,-0.79994696,0.48285663,0.5636623,-0.33337426,-0.041735828,LumU
TCGA-4Z-AA7M,-1.7030876,1.3305557,-0.14465165,0.7018239,-2.6893375,0.17132697,1.3288891,1.969429,0.6724627,0.2484397,1.0049074,-1.8797498,-1.4933085,-0.50926185,0.9719944,-0.31625444,0.95134115,0.10002308,-2.0151,-1.6270565,0.13950743,0.06578934,-1.265087,0.4257341,LumU
TCGA-4Z-AA7N,0.9222541,1.2025948,-0.43813506,-0.011794612,-3.1910388,-1.6105944,0.6123216,1.2995908,0.55148774,2.3763409,-0.5726723,-0.48249492,-1.8970672,-0.98404807,1.7658563,-0.6290268,0.8534555,0.49498737,-1.7293432,-1.2388016,0.6646937,1.0376909,-2.2385702,-0.59884346,Stroma-rich
TCGA-4Z-AA7O,-0.43968835,1.9783717,-0.20356993,0.5279659,-4.222938,-1.1175622,1.0650733,1.8665605,1.2876184,1.3932287,0.50489473,-1.7534299,-2.2657974,-0.6496543,1.4715081,-0.6877206,0.42564744,0.049005635,-2.3890805,-2.4174185,0.77848506,0.9224204,-2.3578527,-0.6344502,LumP
TCGA-4Z-AA7Q,0.22476268,0.9900235,0.19995289,0.010342196,-3.829949,-0.8186816,0.833415,1.5064179,1.1013316,2.0975559,-0.10548467,-0.73305285,-1.9191335,-0.63684124,1.3475087,-0.31703508,0.4452504,-0.014587693,-1.6157023,-1.9768338,1.309124,1.2349553,-2.5365217,-0.7822819,Ba/Sq
