,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21
TCGA-2F-A9KO,-0.57055366,-0.72741497,-0.4069558,0.48593172,0.30282047,-0.73578805,-0.24025702,0.33259872,-0.66793394,-0.14514047,-0.82406557,0.55322206,0.4006355,-0.41459867,-0.94471276,-0.50946647,-0.5282742,-0.8523898,-0.46544105,-0.41728956,-0.0277153,1.08933
TCGA-2F-A9KQ,-0.48414454,-0.5756821,0.21018693,-0.73174405,0.81768847,-0.56021833,-0.85115415,1.3935343,-0.19052139,0.4589458,-0.99395037,1.4855444,1.5645051,-0.41886178,-0.71775496,0.8260036,0.19416323,-1.110173,0.4664235,-1.1029558,-0.5279244,0.03155428
TCGA-2F-A9KR,-0.8377416,-0.8333382,-0.26923302,0.5827505,0.08484152,-0.52729684,-0.3210501,0.055142794,-0.43092313,0.068542,-1.2605813,0.4934824,0.061762184,-0.32080662,-1.063141,-0.772287,-0.78490365,-0.81644195,-0.7669602,-0.1525965,-0.26679125,1.196169
TCGA-2F-A9KT,-0.58279634,-0.43833923,0.07090437,0.2387723,0.069514364,-0.3870657,-0.22812313,0.27538645,-0.22495002,0.20655967,-0.877987,0.5248672,0.3786101,-0.14432487,-0.44675097,-0.17183357,-0.4772701,-0.36136854,-0.24000756,-0.24320978,-0.17577884,0.71213186
TCGA-4Z-AA7M,0.046718717,0.17656034,-0.5702134,0.24881461,0.469853,-1.2765658,0.22658958,0.82366645,-0.9695177,-0.063038796,-0.032240123,0.3363225,1.2769465,-0.4129401,0.04795254,0.04827692,0.15812722,-0.4826396,0.56709653,-0.7670451,0.3765278,0.5327815
TCGA-4Z-AA7O,-0.42358664,-0.4607654,0.06725719,-0.4074288,0.63744247,-0.5836285,-0.5557308,1.0681008,-0.27930772,0.33201367,-0.81285906,1.0893189,1.2583878,-0.37682167,-0.566244,0.5182077,0.044211566,-0.86694187,0.28600538,-0.90567464,-0.30344683,0.22237432
TCGA-4Z-AA7Q,-0.24860452,-0.360371,-0.5602074,0.46993664,0.4345592,-1.2132437,-0.084352255,0.631633,-1.0268109,-0.20248774,-0.41877717,0.49378094,0.8540133,-0.4249498,-0.5113795,-0.37645978,-0.2759123,-0.6121339,0.010566071,-0.46804917,0.21729064,0.99570537
TCGA-4Z-AA7R,0.4047818,0.5247436,-1.189835,-0.093324766,1.59875,-2.336288,0.13130647,2.2795503,-1.7722529,-0.17915803,0.32439575,0.89601696,2.9227054,-0.9677925,-0.17561862,0.8539235,0.79335654,-1.231362,1.6682172,-2.0515957,0.6272874,0.14027162
TCGA-4Z-AA7S,-0.29086834,-0.2738826,0.097962126,-0.5422492,0.4721264,-0.5521629,-0.43047374,1.0729572,-0.15693945,0.40461636,-0.6857035,1.0346261,1.3581007,-0.29154196,-0.30267623,0.6391511,0.21474013,-0.70851964,0.5444843,-0.8262241,-0.28695258,0.069217205
TCGA-4Z-AA7W,0.21255636,0.15824318,-1.70515,1.1186423,1.1357899,-2.6435547,0.34715128,1.3225702,-2.392603,-0.73193026,0.36837432,0.1973699,1.8721563,-1.0147288,-0.48955145,-0.551107,-0.07373009,-1.0761877,0.59461814,-1.2255366,0.8654207,1.4767654
TCGA-4Z-AA7Y,0.085906714,0.36654347,-0.20368761,-0.6349048,0.60290766,-1.1046101,-0.06811553,1.5028615,-0.48691893,0.38848373,-0.19539344,0.9048345,2.1449106,-0.4081726,0.113922626,0.899326,0.63023496,-0.70462066,1.2736769,-1.1958177,0.08144959,-0.15369618
TCGA-4Z-AA80,0.13075817,0.21076626,-0.69830686,-0.07796386,1.0485687,-1.599009,0.0043174326,1.5714821,-1.159298,-0.015520304,-0.026781112,0.7649497,2.0587268,-0.64207673,-0.17369089,0.5825543,0.45095304,-0.8830451,1.0515821,-1.4004714,0.34434405,0.23265827
TCGA-4Z-AA81,-0.12671942,-0.13799685,-0.7495687,0.5860511,0.6300981,-1.6267469,0.022708714,0.8974512,-1.3449374,-0.2882417,-0.23393591,0.44610792,1.2084765,-0.5430721,-0.4143426,-0.29235741,-0.24461508,-0.6084376,0.21659277,-0.6380273,0.36837453,1.0547171
TCGA-4Z-AA82,-0.09173237,-0.06624815,-0.5375066,0.47063446,0.4467009,-1.4170951,0.044323236,0.8079227,-1.1332169,-0.17447504,-0.2412077,0.44160572,1.127403,-0.4139361,-0.22264886,-0.1884951,-0.17174135,-0.4039209,0.2824068,-0.4737717,0.32736057,0.9122387
TCGA-4Z-AA83,-0.08249198,0.33668578,0.12682253,-0.8194979,0.21761438,-0.6075643,-0.12154406,1.1640728,0.03097927,0.62430334,-0.38367945,0.84024817,1.7664434,-0.23267049,0.2522099,0.85530764,0.55701256,-0.49908262,1.0829132,-0.92595035,-0.11609311,-0.22851628
TCGA-4Z-AA84,0.3875403,0.71314734,-1.29403,0.42989516,1.2925446,-2.3742223,0.46650735,1.8115169,-1.8640162,-0.29094025,0.4663348,0.35768536,2.445995,-0.90355784,0.060401306,0.38805422,0.46575078,-0.83756214,1.3176209,-1.644496,0.8264109,0.5622035
TCGA-4Z-AA86,-0.3701737,-0.5773183,-0.8070494,0.68066853,0.67376816,-1.4901986,-0.18450987,0.76564217,-1.341309,-0.40379062,-0.50184786,0.5879907,0.9117023,-0.5965626,-0.94219065,-0.5723216,-0.47885087,-0.9552639,-0.14699493,-0.64963716,0.23222992,1.3139398
TCGA-4Z-AA87,0.0065940917,0.11050524,-0.4815637,0.16173008,0.47964653,-1.1697915,0.16708851,0.8754226,-0.8488172,-0.027056873,-0.125938,0.40317675,1.2554473,-0.3840526,0.0011600032,0.14615962,0.14271912,-0.46813077,0.5622323,-0.76293844,0.309232,0.44625545
TCGA-4Z-AA89,-0.057886556,0.39094254,0.06797553,-0.6868978,0.22377053,-0.6949106,-0.0550043,1.1189936,-0.072094776,0.5678185,-0.3297484,0.7417389,1.7442309,-0.2478449,0.2770526,0.77906066,0.4945607,-0.4520291,1.0365479,-0.8817232,-0.033206232,-0.14051384
TCGA-5N-A9KI,-0.2332257,-0.27785316,-0.5368421,0.36284065,0.43582186,-1.06319,-0.004121214,0.628533,-0.8667592,-0.10068557,-0.38012183,0.45690745,0.857676,-0.41228366,-0.4293475,-0.24087778,-0.17680576,-0.63039106,0.066032276,-0.6006088,0.20001692,0.81654
TCGA-BL-A0C8,-0.92121196,1.0637296,-0.5766908,0.35605648,0.06097099,-0.058432847,0.9594129,0.23161109,0.1907329,1.3867136,0.16870782,-1.0027632,1.3034927,-0.9024173,-0.23444942,1.4062074,0.63980424,-1.7511265,-0.11153363,-2.6092045,0.16418207,-0.23583174
TCGA-BL-A13I,-1.2606598,0.3958267,-1.4343245,1.6513116,-0.04647076,-0.5700322,1.1999204,-0.6854965,-0.7933723,0.7787261,-0.017247766,-1.6651858,0.3946923,-1.0015575,-0.6983814,-0.14085037,0.32898453,-1.9723135,-1.04081,-1.8926976,0.14176038,0.96794873
TCGA-BL-A13J,-0.6560626,0.85356444,-0.7250653,0.765512,0.1266717,-0.5713317,0.95224124,0.15966968,-0.3856377,0.818257,0.23153839,-0.9462272,1.032806,-0.6801497,-0.0393683,0.70831597,0.28183797,-1.1126765,-0.15120013,-1.8744001,0.34219193,0.29371747
TCGA-BL-A3JM,-0.8305706,0.72359115,-1.1863495,1.0903974,0.69425344,-0.83409923,0.89985526,0.34068477,-0.83481246,0.75061977,0.06025186,-0.8509222,1.2552662,-1.2254511,-0.58790505,0.4479441,0.3894535,-1.9284602,-0.30087322,-2.3907547,0.32077712,0.5198437
TCGA-BT-A0S7,-1.3209347,0.28247455,-0.99002767,1.3502214,-0.112820774,-0.14892884,1.0495126,-0.6940678,-0.38024467,0.92516506,-0.31196922,-1.4172744,0.2465935,-0.8550075,-0.6675204,-0.012230415,0.29522717,-1.845703,-1.06248,-1.6787586,-0.015144266,0.69843066
TCGA-BT-A0YX,-0.68664414,1.046241,-0.64242077,0.68756545,-0.038026735,-0.54561657,1.0324628,0.15487505,-0.285755,0.9514965,0.30744705,-1.080375,1.0982535,-0.61944085,0.11044371,0.869593,0.32267156,-1.046964,-0.08505951,-1.876554,0.36150578,0.25111938
TCGA-BT-A20J,-0.5611042,0.37695545,-0.53461146,0.598619,0.22730672,-0.51993734,0.62271065,0.20306344,-0.4040227,0.5733831,-0.1488668,-0.40291002,0.8173305,-0.58494186,-0.22693953,0.2622845,0.11321685,-0.97006416,-0.15260695,-1.2904189,0.18600601,0.42477092
TCGA-BT-A20N,-0.49423584,0.8599922,-0.7889961,0.6588418,0.36085042,-0.74605376,0.8497632,0.41638145,-0.49937713,0.6871666,0.25231645,-0.6955236,1.2136257,-0.7495295,-0.12606063,0.70650864,0.25249577,-1.1441915,0.04375489,-1.9622784,0.43378937,0.26918662
TCGA-BT-A20O,-0.3928261,1.6454558,-2.4515307,2.0878255,1.0827711,-2.527804,1.7352123,0.93617433,-2.3967438,0.16860178,1.2700796,-1.7923687,2.2851868,-1.6083088,-0.094816744,0.48540244,0.5112493,-1.9870323,0.38677597,-3.1005986,1.1497668,1.1227375
TCGA-BT-A20P,-0.6709794,1.258375,-0.865184,0.4020373,0.4357737,-0.6110661,1.0136197,0.63961387,-0.22979736,1.1823417,0.47666898,-0.93704474,1.6931114,-0.9618114,-0.18015078,1.4517736,0.6290246,-1.7047647,0.21170433,-2.8288038,0.45138803,-0.1527344
TCGA-BT-A20Q,-1.1806729,1.31467,-0.67219734,0.8559984,-0.46048507,-0.08788325,1.4225078,-0.26430663,0.085033946,1.5110177,0.35983333,-1.8670968,0.9275912,-0.7043872,0.19335508,1.188281,0.54355705,-1.3379558,-0.3914668,-2.2571628,0.2106883,0.1661633
TCGA-BT-A20R,-0.96006536,0.22333553,-0.6981843,0.97226596,-0.117207915,-0.21176168,0.78707165,-0.44800147,-0.26952767,0.7146684,-0.29693705,-0.9082726,0.3068728,-0.6368901,-0.43729374,0.00943267,0.14444447,-1.3028549,-0.7406383,-1.2709057,0.016462974,0.63271886
TCGA-BT-A20T,-0.80470645,0.7269086,-0.52244985,0.77849805,-0.24706818,-0.29257995,0.98086923,-0.18295492,-0.16273975,0.89679515,0.059663355,-1.1010798,0.6745931,-0.48730335,0.084794775,0.5453503,0.225615,-0.89997566,-0.34797728,-1.4255042,0.17026144,0.37203357
TCGA-BT-A20U,-0.754645,0.71510184,-0.8815319,1.0653195,-0.026843727,-0.66559714,1.0368075,-0.13986985,-0.5749805,0.7160356,0.14747056,-1.1781179,0.7278141,-0.63338983,-0.028012425,0.33430624,0.2490733,-1.0675286,-0.3738494,-1.5165374,0.28108168,0.5715282
TCGA-BT-A20V,-0.34350383,1.2584369,-1.450326,1.1795175,0.7729647,-1.5711883,1.1729376,0.8120897,-1.3150799,0.40024439,0.7060571,-1.021944,1.7853326,-1.116287,-0.043046117,0.6968213,0.3696623,-1.4059078,0.34963775,-2.4583147,0.8094635,0.5824811
TCGA-BT-A20W,-1.0293016,0.33420256,-0.59320545,0.9416706,-0.23278508,-0.0904686,0.8804759,-0.49857458,-0.1405432,0.88998914,-0.280779,-1.0952804,0.29541418,-0.5849404,-0.27547964,0.17913747,0.22976848,-1.2669729,-0.7566845,-1.2913928,-0.021242298,0.48100206
TCGA-BT-A20X,-0.66297317,1.3243883,-1.5333564,1.497716,0.42422596,-1.4021341,1.462532,0.33613953,-1.2863573,0.6484281,0.72523355,-1.6238729,1.4448483,-1.0345111,0.06654528,0.62319815,0.44002387,-1.4405919,-0.028917924,-2.3703415,0.6946147,0.724474
TCGA-BT-A2LA,-0.5546473,1.5081906,-1.985565,1.1410172,1.6361918,-1.7185531,1.22206,1.3766624,-1.4829688,0.7288226,0.85933936,-1.0158886,2.570329,-1.841753,-0.6407999,1.2579249,0.84411216,-2.6566417,0.54599124,-4.016265,0.90502393,0.2235481
TCGA-BT-A2LB,-0.94621456,0.9732283,-0.64182717,0.71199685,-0.052467585,-0.19309005,1.0784702,0.0033233874,-0.047223575,1.2017866,0.177318,-1.1970676,1.0468959,-0.7940477,-0.1262066,1.0289874,0.4486275,-1.4673162,-0.31383836,-2.2426076,0.1883736,0.09435594
